CAF_Actual	CAF_Pred	CD8_Actual	CD8_Pred	ExmiR_Actual	ExmiR_Pred	Immuno_Actual	Immuno_Pred	TAM_Actual	TAM_Pred	TME_Actual	TME_Pred
1	0.655393805	1	0.965987536	1	0.89851916	1	0.991187075	1	0.652647701	1	0.928513662
1	0.662937416	1	0.965996811	1	0.87562059	1	0.990508257	1	0.67043641	1	0.929550013
1	0.619199636	1	0.965970623	1	0.885658897	1	0.989385423	1	0.73301888	1	0.928580104
1	0.615029986	1	0.966000919	1	0.889290063	1	0.990553887	1	0.725250906	1	0.936339257
1	0.609503502	1	0.966001851	1	0.90211234	1	0.990661045	1	0.73660874	1	0.942324622
1	0.594296649	1	0.966003838	1	0.897129594	1	0.991330839	1	0.738012273	1	0.937925657
1	0.643182766	1	0.965979868	1	0.869557381	1	0.987758139	1	0.686570504	1	0.928533279
1	0.674959618	1	0.966003848	1	0.897797411	1	0.991249391	1	0.799295443	1	0.938134407
1	0.747109419	1	0.96599946	1	0.873940083	1	0.990128295	1	0.783658158	1	0.929225621
1	0.649961752	1	0.966004915	1	0.899591946	1	0.990444598	1	0.735802378	1	0.927964567
1	0.695603627	1	0.965998219	1	0.898798151	1	0.990991395	1	0.705943141	1	0.92842113
1	0.566403155	1	0.965988474	1	0.89287132	1	0.990192691	1	0.684159188	1	0.930164572
1	0.649164639	1	0.966001181	1	0.889298773	1	0.990791897	1	0.700830126	1	0.934699178
1	0.627891833	1	0.966002938	1	0.876887974	1	0.990898015	1	0.733589909	1	0.932558548
1	0.677076466	1	0.965983833	1	0.870126863	1	0.989825298	1	0.684055771	1	0.930571696
1	0.610885169	1	0.96599157	1	0.893055245	1	0.990898109	1	0.70172843	1	0.936175835
1	0.591136952	1	0.965989004	1	0.887002482	1	0.990869878	1	0.726899903	1	0.932862064
1	0.668998115	1	0.96599419	1	0.877580237	1	0.990548573	1	0.690395348	1	0.929882667
1	0.636908073	1	0.966002138	1	0.886113868	1	0.991266304	1	0.711575972	1	0.932809905
1	0.725804426	1	0.96600068	1	0.867146929	1	0.990613934	1	0.627960644	1	0.925770367
1	0.680770355	1	0.966005508	1	0.901905557	1	0.991416259	1	0.651848278	1	0.92312537
1	0.637959071	1	0.966004137	1	0.886062044	1	0.991313143	1	0.722601712	1	0.937613623
1	0.707425174	1	0.965990668	1	0.853369928	1	0.991148212	1	0.689039077	1	0.921182577
1	0.666752169	1	0.966005315	1	0.891851788	1	0.992523003	1	0.700589586	1	0.929080505
1	0.655978931	1	0.965993908	1	0.889063727	1	0.990445457	1	0.686167427	1	0.933296508
1	0.666988895	1	0.965967954	1	0.848749694	1	0.986343698	1	0.641468387	1	0.91695761
1	0.685914431	1	0.96600353	1	0.882283175	1	0.991780624	1	0.711254336	1	0.927681707
1	0.6983279	1	0.965993893	1	0.869652872	1	0.990017058	1	0.701451095	1	0.926234478
1	0.61165508	1	0.966004328	1	0.895780373	1	0.991207021	1	0.699477938	1	0.944041478
1	0.620143847	1	0.966002715	1	0.888235991	1	0.990918003	1	0.754744993	1	0.935683832
1	0.730855887	1	0.96600603	1	0.90236173	1	0.989906996	1	0.748720895	1	0.941363695
1	0.642391255	1	0.965985299	1	0.876860412	1	0.990696781	1	0.726227761	1	0.932453481
1	0.66841047	1	0.965995695	1	0.859295214	1	0.992086	1	0.570228929	1	0.906211035
1	0.619342462	1	0.965978003	1	0.873433762	1	0.990503492	1	0.698146759	1	0.93453734
1	0.613927376	1	0.966001656	1	0.90155594	1	0.991174125	1	0.746230742	1	0.931370928
1	0.622005034	1	0.965999762	1	0.885087534	1	0.991328906	1	0.723619065	1	0.941185802
1	0.653365266	1	0.966001163	1	0.884956902	1	0.994587279	1	0.711137923	1	0.930547046
1	0.659459786	1	0.966000311	1	0.893514921	1	0.990324555	1	0.779876943	1	0.936001438
1	0.648074991	1	0.965992471	1	0.859057156	1	0.989053867	1	0.691873454	1	0.925892296
1	0.6169761	1	0.965999472	1	0.886170942	1	0.991420842	1	0.78195882	1	0.935998578
1	0.640180046	1	0.966000318	1	0.890145885	1	0.990127575	1	0.702271318	1	0.933364254
1	0.681145794	1	0.966005679	1	0.899819561	1	0.99311324	1	0.758976636	1	0.935406126
1	0.684535501	1	0.965991	1	0.890300097	1	0.990979375	1	0.769029976	1	0.926858213
1	0.684862251	1	0.96599851	1	0.878136348	1	0.991788605	1	0.617143603	1	0.920840371
1	0.707828975	1	0.965963834	1	0.870602961	1	0.988535076	1	0.679703698	1	0.916260906
1	0.671164622	1	0.965994501	1	0.886104144	1	0.990551627	1	0.770691676	1	0.935839157
1	0.60721027	1	0.96599825	1	0.891613575	1	0.99058425	1	0.732484736	1	0.938332175
1	0.658035935	1	0.966003692	1	0.893090994	1	0.991133873	1	0.788734408	1	0.933106337
1	0.684524812	1	0.966000182	1	0.871134122	1	0.991268526	1	0.728510261	1	0.927263351
1	0.708734207	1	0.966001461	1	0.875371509	1	0.991000752	1	0.675017512	1	0.926332945
1	0.657379381	1	0.965989564	1	0.897373361	1	0.989847603	1	0.645852625	1	0.935581724
1	0.665496984	1	0.965984	1	0.867504628	1	0.990545652	1	0.675771269	1	0.924669296
-1	0.685987577	-1	0.965967975	-1	0.858439035	-1	0.99020173	-1	0.675639952	-1	0.92125243
-1	0.673011905	-1	0.965954199	-1	0.841568594	-1	0.990172363	-1	0.697804006	-1	0.914115844
-1	0.646215937	-1	0.965998701	-1	0.887125424	-1	0.992272186	-1	0.707822488	-1	0.924523845
-1	0.678323639	-1	0.96597637	-1	0.866758243	-1	0.989827899	-1	0.691654696	-1	0.920502064
-1	0.619909467	-1	0.965998285	-1	0.884907167	-1	0.990532417	-1	0.682466001	-1	0.93485947
-1	0.675442754	-1	0.965984255	-1	0.856536903	-1	0.989550204	-1	0.655548747	-1	0.927388609
-1	0.663142179	-1	0.965996337	-1	0.876313316	-1	0.99142312	-1	0.765613081	-1	0.935484019
-1	0.725009208	-1	0.966002228	-1	0.871740912	-1	0.98978316	-1	0.756052325	-1	0.929750286
-1	0.679525227	-1	0.966001669	-1	0.890797376	-1	0.991220872	-1	0.704600202	-1	0.932708478
-1	0.632462318	-1	0.965997572	-1	0.89067963	-1	0.990556531	-1	0.708220428	-1	0.931560839
-1	0.688785695	-1	0.965995551	-1	0.867115275	-1	0.989518889	-1	0.647268564	-1	0.920531674
-1	0.653094643	-1	0.966001385	-1	0.883610128	-1	0.990696281	-1	0.714854987	-1	0.93060616
-1	0.673503298	-1	0.965983926	-1	0.876793596	-1	0.991813157	-1	0.661467904	-1	0.927730492
-1	0.677298677	-1	0.965994076	-1	0.875398288	-1	0.991232718	-1	0.703277539	-1	0.921179398
-1	0.622896583	-1	0.965974585	-1	0.866867706	-1	0.990821884	-1	0.687224677	-1	0.923636387
-1	0.683182886	-1	0.965969116	-1	0.856761754	-1	0.989114632	-1	0.579470346	-1	0.907647266
-1	0.651744992	-1	0.965962096	-1	0.865972964	-1	0.989832035	-1	0.662837801	-1	0.922090177
-1	0.664716004	-1	0.96600139	-1	0.885879291	-1	0.990752662	-1	0.651716306	-1	0.921650237
-1	0.721059721	-1	0.965995881	-1	0.876667029	-1	0.991315024	-1	0.691297036	-1	0.926008607
-1	0.601266353	-1	0.966003372	-1	0.89670311	-1	0.991130987	-1	0.750488266	-1	0.944070665
-1	0.683863573	-1	0.965995377	-1	0.88567197	-1	0.990520301	-1	0.644004046	-1	0.93437991
-1	0.582878442	-1	0.966000453	-1	0.907476048	-1	0.990902084	-1	0.755711457	-1	0.940501258
-1	0.717487284	-1	0.965985083	-1	0.855481541	-1	0.990162735	-1	0.638202142	-1	0.918579302
-1	0.578605004	-1	0.966001119	-1	0.893957652	-1	0.991210371	-1	0.691669011	-1	0.938979068
-1	0.704338963	-1	0.966004028	-1	0.870066119	-1	0.990357843	-1	0.694644984	-1	0.930459118
-1	0.683552702	-1	0.965999458	-1	0.866548234	-1	0.990640541	-1	0.68159697	-1	0.929557918
-1	0.671446906	-1	0.965986559	-1	0.876626691	-1	0.990126583	-1	0.626444469	-1	0.921490398
-1	0.728431045	-1	0.965976532	-1	0.847718464	-1	0.982963426	-1	0.617227803	-1	0.906566275
-1	0.647758494	-1	0.965987482	-1	0.875343005	-1	0.989980202	-1	0.724291004	-1	0.924759452
-1	0.618297344	-1	0.966000614	-1	0.886803897	-1	0.991256804	-1	0.791898175	-1	0.945716015
-1	0.64427458	-1	0.965996367	-1	0.881065247	-1	0.991140682	-1	0.722421514	-1	0.937271212
-1	0.69394234	-1	0.965995817	-1	0.853343863	-1	0.990834254	-1	0.698694219	-1	0.925653328
-1	0.645805107	-1	0.965983331	-1	0.885183326	-1	0.991104051	-1	0.655057595	-1	0.926094879
-1	0.627632297	-1	0.966003544	-1	0.893103503	-1	0.990868036	-1	0.709126124	-1	0.927808324
-1	0.675951303	-1	0.965966904	-1	0.862730627	-1	0.989778386	-1	0.708408514	-1	0.91627384
-1	0.7160574	-1	0.965987384	-1	0.865449118	-1	0.990565813	-1	0.704957788	-1	0.925127655
-1	0.696934292	-1	0.965973033	-1	0.847302756	-1	0.986549149	-1	0.620288605	-1	0.909069354
-1	0.6791602	-1	0.965981355	-1	0.867242311	-1	0.990924531	-1	0.612090421	-1	0.929965295
